,url,segment_no,cumle_icerigi,sözcük_sayisi
39,https://www.iha.com.tr/haber-kaldirimda-oturan-vatandasin-uzerine-beton-parcalarin-dustugu-anlar-kamerada-843807/,3,Beton parçaların düşmesi nedeniyle Akgül omuzundan yaralandı.,7
40,https://www.iha.com.tr/haber-kaldirimda-oturan-vatandasin-uzerine-beton-parcalarin-dustugu-anlar-kamerada-843807/,4,Öte yanda düşen parçaların Akgülün kafasına isabet etmemesi olası bir faciayı önlemiş oldu.O anlar güvenlik kamerasına yansıdı.,17
41,https://www.iha.com.tr/haber-kaldirimda-oturan-vatandasin-uzerine-beton-parcalarin-dustugu-anlar-kamerada-843807/,5,Görüntülerde kaldırımda oturan üzerine başına bir anda beton parçalar düşmeye başlıyor.,11
42,https://www.iha.com.tr/haber-kaldirimda-oturan-vatandasin-uzerine-beton-parcalarin-dustugu-anlar-kamerada-843807/,6,Neye uğradığını şaşıran adam yerinden fırlayıp kaçıyor.Mustafa Biçer - Gamze Erdemir,11
43,https://www.iha.com.tr/haber-yesil-golun-turizme-kazandirilmasi-calismalar-basliyor-843803/,0,Eşsiz manzarasıyla ilgi odağı olan göl hazırlanan turizme kazandırılacak.,9
44,https://www.iha.com.tr/haber-yesil-golun-turizme-kazandirilmasi-calismalar-basliyor-843803/,1,"2019 Yılı Turizm Altyapısının Geliştirilmesi Mali Destek Programı kapsamında Laçin Köylere Hizmet Götürme Birliği tarafından Orta Karadeniz Kalkınma Ajansı(OKA)na sunulan “Yeşil Göl” başlıklı proje, OKA tarafından onaylanarak ihalesi 28 Nisanda 1 milyon 270 bin TL bedelle ihale edildi.",38
45,https://www.iha.com.tr/haber-yesil-golun-turizme-kazandirilmasi-calismalar-basliyor-843803/,2,"Yüklenici ile sözleşme imzalandıktan sonra ay içerisinde yapım işlerine başlanılması planlanırken, proje bütçesinin 605 bin tutarındaki bölümü OKA, kalan kısmı ise Çorum İl Özel İdaresi tarafından finanse edilecek.Çorum Valililiğinden yapılan açıklama da şu ifadelere yer verildi; “Proje kapsamında bölgemizde doğa turizminin ve istihdamın canlandırılması amacıyla, Laçin ilçesi sınırlarında Köse Dağında orman içerisinde yer alan doğa harikası Yeşil Göl Mesire Alanında restoran, kafeterya, yöresel ürün satış yerleri, çocuk oyun parkı, otopark, iskele, yapay şelale, yürüyüş yolu, koşu ve bisiklet yolları yapılması planlanmaktadır.",81
46,https://www.iha.com.tr/haber-yesil-golun-turizme-kazandirilmasi-calismalar-basliyor-843803/,3,"Projenin tamamlanması ile birlikte Yeşil Göl Mesire alanının, orman içerisinde ve göl kenarında yer alan, yakınlarında doğal şelalesi bulunan, doğa sporlarının ve kamp faaliyetlerinin yapılabileceği tek mesire yeri olarak bölgemizde cazibe merkezi olması beklenmektedir.",34
47,https://www.iha.com.tr/haber-yesil-golun-turizme-kazandirilmasi-calismalar-basliyor-843803/,4,"Yeşilgöl olarak bilinen, ilçeye yakın mesafede, dağın eteğinde yüksek bir noktadaki bu gölün, eşsiz manzarası, bitki örtüsü ve doğal güzellikleriyle adeta saklı cennet olarak nitelendirilen bu doğa harikasının, hayata geçirilen bu proje ile biran önce turizme kazandırılması ilimiz için önemli bir gelir kaynağı olacaktır.",44
48,https://www.iha.com.tr/haber-yesil-golun-turizme-kazandirilmasi-calismalar-basliyor-843803/,5,"Kamuoyunun bilgisine sunulur.""",3
